id,date,amount_nok,counterparty,description,currency,category,triage,confidence,question_group,triage_reason
t-00037,2026-06-26,-222.32,Starbucks,Kaffe,NOK,meals,accountant-review,MEDIUM,,personal_risk=PLAUSIBLY_PERSONAL blocks auto-approve
t-00047,2026-06-26,-3456.26,AIRBNB,Lodging,NOK,travel,accountant-review,MEDIUM,,history support NONE does not carry auto-approve
t-00048,2026-06-26,-680,VIPPS LARS HANSEN,Vipps,NOK,uncertain,owner-question,LOW,q-fallback-002,The chart of accounts pairs uncertain with asking the owner.
t-00024,2026-06-27,-1998.86,Comfort Hotel Oslo,Hotell,NOK,travel,accountant-review,LOW,,history support NONE does not carry auto-approve
t-00033,2026-06-27,-43097.15,PwC Norge,Konsulent,NOK,professional_services,auto-approve,HIGH,,"Recurring history, clear purpose, nothing missing, high confidence."
t-00020,2026-06-28,-6868.73,SAS,Flyreise,NOK,travel,accountant-review,MEDIUM,,history support NONE does not carry auto-approve
t-00042,2026-06-28,-795.09,MENY,Dagligvarer,NOK,uncertain,owner-question,LOW,q-fallback-009,The chart of accounts pairs uncertain with asking the owner.
t-00046,2026-06-28,-16906.14,TRANSFERWISE / WISE,International transfer,NOK,uncertain,owner-question,LOW,q-fallback-010,The chart of accounts pairs uncertain with asking the owner.
t-00031,2026-06-29,-633.42,Vy Tog AS,Togbillett,NOK,travel,auto-approve,HIGH,,"Recurring history, clear purpose, nothing missing, high confidence."
t-00050,2026-06-29,-340,STRIPE TECHNOLOGY EU,Subscription EUR,EUR,uncertain,owner-question,LOW,q-fallback-011,The chart of accounts pairs uncertain with asking the owner.
t-00009,2026-06-30,-2400,Storebrand Forsikring,Bedriftsforsikring,NOK,insurance,auto-approve,HIGH,,"Recurring history, clear purpose, nothing missing, high confidence."
t-00022,2026-06-30,-7321.98,Elkjøp,Elektronikk,NOK,hardware,accountant-review,MEDIUM,,confidence is MEDIUM
t-00045,2026-06-30,-524.76,SAMSON BAKERI,Bakeri,NOK,uncertain,owner-question,LOW,q-fallback-012,The chart of accounts pairs uncertain with asking the owner.
t-00055,2026-06-30,-25000,OVERFØRING KARI NORDMANN,Privat,NOK,salary,accountant-review,MEDIUM,,confidence is MEDIUM
